Platform;Year;Global_Sales
X360;2009;0.46
SNES;1994;0.46
PS2;2002;0.46
X360;2013;0.46
GBA;2003;0.46
PS3;2010;0.46
Wii;2009;0.46
3DS;2015;0.46
X360;2010;0.46
XB;2003;0.46
Wii;2010;0.46
PS;1995;0.46
Wii;2007;0.46
PS3;2011;0.46
PS3;2011;0.46
PSV;2015;0.46
PS3;2009;0.45
XOne;2014;0.45
PSP;2009;0.45
GBA;2005;0.45
PSV;2013;0.45
PS;1999;0.45
3DS;2014;0.45
Wii;2007;0.45
SNES;1996;0.45
PS4;2014;0.45
PS2;2005;0.45
GC;2003;0.45
Wii;2008;0.45
XB;2004;0.45
SNES;1995;0.45
DS;2007;0.45
GC;2002;0.45
DS;2012;0.45
PS2;2002;0.45
PSV;2012;0.45
Wii;2012;0.45
3DS;2011;0.45
DS;2008;0.45
PS2;2006;0.45
PC;2014;0.45
Wii;2008;0.45
X360;2011;0.45
X360;2008;0.45
2600;1985;0.45
PS;1998;0.45
PS2;2005;0.45
PS;1998;0.45
X360;2007;0.45
PS2;2004;0.45
X360;2008;0.45
XB;2003;0.45
Wii;2007;0.45
2600;1981;0.45
PS3;2010;0.45
X360;2011;0.45
DS;2007;0.45
PS4;2016;0.45
Wii;2009;0.45
PS3;2015;0.45
PS;1998;0.45
DS;2009;0.45
Wii;2009;0.45
GBA;2004;0.45
PS3;2009;0.45
PSV;2013;0.45
Wii;2009;0.45
PS2;2001;0.45
PS4;2015;0.45
PS2;2003;0.45
SNES;1993;0.45
N64;1998;0.45
N64;2000;0.45
PS3;2008;0.45
Wii;2009;0.45
3DS;2014;0.45
Wii;2007;0.45
DS;2007;0.45
GBA;2001;0.45
PS2;2006;0.45
PS;1995;0.45
DS;2009;0.45
X360;2012;0.45
GBA;2004;0.45
X360;2008;0.45
PS;1995;0.45
PS2;2009;0.45
PSP;2010;0.45
PS;1999;0.45
PS2;2008;0.45
X360;2009;0.45
PS2;2004;0.45
PS3;2007;0.45
PS;1994;0.45
XB;2005;0.45
X360;2010;0.45
PSP;2007;0.45
GC;2004;0.45
2600;1987;0.45
GC;2004;0.45
DS;2005;0.45
XB;2003;0.45
PS;2000;0.45
PS2;2002;0.45
PS;1996;0.45
WiiU;2015;0.45
Wii;2008;0.45
2600;1981;0.45
PS2;2004;0.45
GBA;2004;0.45
PSP;2008;0.45
Wii;2009;0.45
DS;2009;0.45
XOne;2013;0.45
PS2;2004;0.44
PS3;2013;0.44
PS2;2006;0.44
PS2;2005;0.44
XB;2005;0.44
N64;1999;0.44
PS2;2004;0.44
PS2;2005;0.44
X360;2015;0.44
DS;2009;0.44
PS2;2002;0.44
WiiU;2015;0.44
PS2;2004;0.44
XB;2005;0.44
Wii;2009;0.44
X360;2012;0.44
PS3;2013;0.44
DS;2004;0.44
PS2;2003;0.44
XB;2006;0.44
X360;2013;0.44
XOne;2016;0.44
PS;1996;0.44
XB;2002;0.44
PS2;2005;0.44
Wii;2009;0.44
Wii;2009;0.44
XB;2005;0.44
GBA;2003;0.44
PS;1997;0.44
X360;2011;0.44
PS;1999;0.44
PS3;2012;0.44
X360;2011;0.44
XB;2006;0.44
Wii;2008;0.44
DS;2007;0.44
X360;2007;0.44
PS2;2005;0.44
PS;2000;0.44
PS;1996;0.44
SNES;1996;0.44
NES;1991;0.44
N64;1997;0.44
Wii;2009;0.44
Wii;2009;0.44
PS3;2010;0.44
GC;2005;0.44
PS2;2007;0.44
PS;2001;0.44
DS;2007;0.44
DS;2007;0.44
PSP;2009;0.44
XB;2004;0.44
PS2;2002;0.44
PS;2000;0.44
GC;2004;0.44
DS;2010;0.44
GC;2003;0.44
GBA;2003;0.44
PS2;2003;0.44
DS;2010;0.44
PS3;2012;0.44
GC;2002;0.44
GBA;2003;0.44
X360;2012;0.44
GC;2002;0.44
GBA;2004;0.44
PS2;2005;0.44
PS2;2009;0.44
SAT;1996;0.44
Wii;2007;0.44
PS2;2005;0.44
DS;2010;0.44
PS2;2002;0.44
Wii;2011;0.44
PS2;2007;0.44
PSP;2007;0.44
DS;2006;0.44
XB;2002;0.44
Wii;2009;0.44
GBA;2004;0.43
PS3;2010;0.43
3DS;2011;0.43
DS;2009;0.43
PS2;2003;0.43
N64;2001;0.43
GBA;2004;0.43
PS2;2008;0.43
PS;2001;0.43
XB;2001;0.43
GBA;2005;0.43
PC;2013;0.43
PS2;2005;0.43
PS4;2014;0.43
DS;2010;0.43
SAT;1996;0.43
XB;2003;0.43
PC;2016;0.43
XOne;2015;0.43
Wii;2010;0.43
PS2;2003;0.43
WiiU;2016;0.43
PS;2001;0.43
PS4;2014;0.43
PS2;2000;0.43
2600;1981;0.43
PS2;2004;0.43
DS;2009;0.43
GBA;2002;0.43
GBA;2003;0.43
SNES;1994;0.43
Wii;2010;0.43
PS3;2010;0.43
X360;2012;0.43
GBA;2004;0.43
PS2;2009;0.43
PS2;2003;0.43
Wii;2010;0.43
X360;2007;0.43
N64;1998;0.43
N64;1997;0.43
PC;2012;0.43
DS;2008;0.43
DS;2006;0.43
PS2;2004;0.43
Wii;2013;0.43
PS2;2003;0.43
PS;1996;0.43
DS;2009;0.43
PS2;2001;0.43
PS3;2012;0.43
PS3;2007;0.43
PSP;2006;0.43
PS2;2008;0.43
PS2;2006;0.43
PC;2006;0.43
XOne;2014;0.43
GC;2002;0.43
Wii;2009;0.43
X360;2008;0.43
GBA;2002;0.43
WiiU;2012;0.43
PS3;2010;0.43
XB;2003;0.43
DS;2009;0.43
Wii;2007;0.43
DS;2011;0.43
PS2;2009;0.43
PS;1997;0.43
PS4;2014;0.43
PS2;2005;0.43
PSP;2007;0.43
PSP;2006;0.43
DS;2006;0.42
SAT;1997;0.42
PSP;2011;0.42
GC;2002;0.42
DS;2009;0.42
PSP;2009;0.42
DS;2008;0.42
PS2;2007;0.42
GBA;2001;0.42
PS3;2009;0.42
PS2;2006;0.42
PS2;2005;0.42
GC;2003;0.42
XB;2003;0.42
X360;2009;0.42
PS2;2003;0.42
PS;1999;0.42
SNES;1991;0.42
PS;1998;0.42
3DS;2013;0.42
GC;2005;0.42
X360;2011;0.42
GBA;2004;0.42
DS;2008;0.42
Wii;2007;0.42
PSP;2007;0.42
PS;1997;0.42
PS2;2003;0.42
PS;2003;0.42
PSV;2012;0.42
DS;2010;0.42
DS;2006;0.42
DS;2009;0.42
PS;2001;0.42
SAT;1997;0.42
XB;2004;0.42
GBA;2005;0.42
PS2;2003;0.42
PS2;2007;0.42
PS2;2002;0.42
Wii;2007;0.42
PS2;2004;0.42
X360;2010;0.42
GBA;2004;0.42
DS;2009;0.42
GBA;2004;0.42
PS;1998;0.42
PSP;2005;0.42
PS;1999;0.42
DS;2007;0.42
PSP;2008;0.42
XB;2002;0.42
PS2;2004;0.42
DS;2010;0.42
PS2;2003;0.42
N64;1998;0.42
N64;2000;0.42
N64;2001;0.42
N64;1999;0.42
N64;2000;0.42
GC;2004;0.42
PS3;2010;0.42
PS4;2015;0.42
PS2;2008;0.42
XOne;2014;0.42
XB;2004;0.42
GC;2004;0.42
X360;2006;0.42
SNES;1995;0.42
GBA;2004;0.42
PS2;2008;0.42
DS;2010;0.42
GC;2005;0.42
Wii;2009;0.42
PS2;2007;0.42
DS;2009;0.42
X360;2005;0.42
PS;2001;0.42
Wii;2008;0.42
PS2;2002;0.42
GC;2005;0.42
PS2;2005;0.42
PS3;2010;0.42
DS;2008;0.42
PS;1998;0.42
GBA;2001;0.42
XB;2006;0.42
Wii;2007;0.42
XB;2006;0.42
PSP;2009;0.42
PSP;2010;0.42
WiiU;2015;0.42
3DS;2016;0.42
PS3;2010;0.42
Wii;2011;0.42
PS3;2011;0.42
XB;2004;0.42
PSP;2010;0.42
PS2;2007;0.42
PS;2000;0.42
PS;1997;0.42
PS2;2004;0.42
PSP;2007;0.42
PS2;2004;0.42
SAT;1995;0.42
PS3;2009;0.42
XB;2001;0.42
X360;2007;0.41
PS2;2003;0.41
PS2;2003;0.41
DS;2009;0.41
3DS;2013;0.41
PS2;2003;0.41
GBA;2001;0.41
PS2;2003;0.41
GBA;2001;0.41
PSV;2013;0.41
PC;1998;0.41
PS2;2010;0.41
DC;1999;0.41
PS;1998;0.41
PS2;2007;0.41
PC;2007;0.41
PS3;2007;0.41
PS2;2010;0.41
PS;2000;0.41
XB;2005;0.41
PSP;2009;0.41
PS;2000;0.41
PS;1999;0.41
PS;2000;0.41
PS3;2015;0.41
SAT;1995;0.41
X360;2012;0.41
PSP;2009;0.41
X360;2014;0.41
DS;2009;0.41
X360;2015;0.41
PS2;2002;0.41
DS;2007;0.41
DS;2008;0.41
PS3;2010;0.41
PS2;2006;0.41
PSP;2007;0.41
SAT;1996;0.41
PS2;2005;0.41
Wii;2009;0.41
Wii;2009;0.41
PS3;2012;0.41
PS;1996;0.41
PSV;2015;0.41
Wii;2009;0.41
PSP;2009;0.41
X360;2008;0.41
PS2;2002;0.41
Wii;2011;0.41
PSP;2009;0.41
X360;2011;0.41
PS;1997;0.41
DS;2009;0.41
NES;1985;0.41
N64;1999;0.41
N64;1999;0.41
PS3;2008;0.41
PS2;2002;0.41
PSV;2014;0.41
PS2;2007;0.41
PS;1997;0.41
Wii;2009;0.41
Wii;2008;0.41
X360;2010;0.41
PS;1999;0.41
PS3;2012;0.41
PC;2014;0.41
Wii;2011;0.41
PS3;2010;0.41
PS2;2009;0.41
WiiU;2013;0.41
Wii;2010;0.41
X360;2006;0.41
PS2;2001;0.41
PS2;2006;0.41
GC;2002;0.41
Wii;2006;0.41
PS2;2010;0.41
PSP;2010;0.41
PS;1996;0.41
PS;1998;0.41
PS2;2008;0.41
GBA;2001;0.41
Wii;2008;0.41
X360;2010;0.41
Wii;2008;0.41
PS3;2008;0.41
X360;2011;0.41
PC;2011;0.41
PSP;2010;0.41
PS2;2009;0.41
SNES;1995;0.41
PS2;2005;0.41
SNES;1994;0.41
PS2;2001;0.41
XOne;2015;0.41
X360;2011;0.41
PS;2000;0.41
PS2;2005;0.41
PC;2012;0.41
PS3;2012;0.41
DS;2009;0.41
DS;2009;0.41
PS2;2002;0.41
PS;2003;0.4
PS;2001;0.4
2600;1983;0.4
PS3;2008;0.4
3DS;2014;0.4
X360;2007;0.4
2600;1981;0.4
Wii;2010;0.4
PSV;2014;0.4
X360;2007;0.4
GC;2003;0.4
PS3;2007;0.4
PS3;2008;0.4
WiiU;2013;0.4
PS3;2008;0.4
GB;1997;0.4
PS2;2009;0.4
PS2;2002;0.4
Wii;2012;0.4
Wii;2009;0.4
PS3;2014;0.4
2600;1982;0.4
PS2;2005;0.4
GC;2003;0.4
DS;2005;0.4
DS;2009;0.4
PS2;2008;0.4
PSP;2005;0.4
PS2;2008;0.4
GBA;2005;0.4
PS;1997;0.4
GC;2005;0.4
PS;1999;0.4
GC;2004;0.4
XOne;2014;0.4
SNES;1994;0.4
XOne;2014;0.4
Wii;2007;0.4
Wii;2009;0.4
PS3;2009;0.4
XOne;2016;0.4
SAT;1995;0.4
PS;1999;0.4
PS3;2010;0.4
PS2;2008;0.4
PSP;2011;0.4
N64;1999;0.4
N64;1997;0.4
N64;1999;0.4
N64;1997;0.4
PS2;2001;0.4
PS2;2004;0.4
PS;1999;0.4
X360;2010;0.4
DS;2009;0.4
PS2;2007;0.4
PS2;2005;0.4
X360;2009;0.4
PS2;2007;0.4
PC;2010;0.4
GBA;2001;0.4
Wii;2009;0.4
XB;2005;0.4
GC;2006;0.4
DS;2009;0.4
GC;2004;0.4
PS;1999;0.4
GBA;2006;0.4
GBA;2004;0.4
DS;2007;0.4
X360;2010;0.4
X360;2009;0.4
WiiU;2014;0.4
X360;2007;0.4
PS;1999;0.4
SNES;1995;0.4
WiiU;2013;0.4
PS3;2008;0.4
GC;2002;0.4
XB;2001;0.4
PS;2000;0.4
PS3;2012;0.4
PS2;2003;0.4
PS;1996;0.4
PS3;2010;0.4
PC;2010;0.4
PS2;2004;0.4
GC;2004;0.4
DS;2010;0.4
DS;2007;0.4
X360;2015;0.4
X360;2006;0.4
SNES;1995;0.4
X360;2010;0.4
PS2;2005;0.4
PS2;2004;0.39
PS3;2013;0.39
PS2;2007;0.39
XB;2005;0.39
PS3;2013;0.39
3DS;2012;0.39
PS2;2007;0.39
PS3;2015;0.39
N64;1998;0.39
Wii;2009;0.39
PS3;2011;0.39
PS3;2008;0.39
Wii;2007;0.39
DS;2008;0.39
PSP;2011;0.39
PS;2000;0.39
PS;1997;0.39
2600;1982;0.39
PS2;2002;0.39
GBA;2003;0.39
Wii;2008;0.39
PS2;2008;0.39
PSP;2011;0.39
XB;2002;0.39
Wii;2008;0.39
GBA;2002;0.39
PSP;2009;0.39
3DS;2011;0.39
DS;2008;0.39
X360;2012;0.39
PSP;2008;0.39
2600;1981;0.39
DS;2008;0.39
PSP;2006;0.39
PS;1998;0.39
DS;2008;0.39
GC;2004;0.39
PS4;2013;0.39
PS3;2013;0.39
PS;2001;0.39
3DS;2012;0.39
X360;2011;0.39
PSV;2012;0.39
DS;2009;0.39
Wii;2011;0.39
DS;2005;0.39
X360;2010;0.39
3DS;2011;0.39
Wii;2011;0.39
PC;2005;0.39
XB;2003;0.39
PS3;2015;0.39
GBA;2004;0.39
N64;1999;0.39
N64;2000;0.39
N64;1998;0.39
N64;1999;0.39
GC;2005;0.39
PC;2009;0.39
PS2;2003;0.39
Wii;2008;0.39
PS2;2000;0.39
PS2;2002;0.39
Wii;2010;0.39
WiiU;2012;0.39
WiiU;2012;0.39
SNES;1991;0.39
PS2;2005;0.39
PS3;2006;0.39
DS;2009;0.39
PS3;2008;0.39
Wii;2008;0.39
PS2;2003;0.39
PS3;2013;0.39
SNES;1992;0.39
X360;2013;0.39
GB;2001;0.39
Wii;2007;0.39
3DS;2011;0.39
GBA;2005;0.39
PS2;2006;0.39
PS3;2014;0.39
SNES;1994;0.39
PS2;2002;0.39
XB;2005;0.39
DS;2009;0.39
Wii;2009;0.39
PS2;2007;0.39
PS2;2008;0.39
2600;1981;0.39
PS;1999;0.39
3DS;2011;0.39
X360;2006;0.39
DS;2009;0.39
Wii;2009;0.39
GBA;2003;0.39
DS;2007;0.38
PS4;2015;0.38
PS2;2003;0.38
3DS;2013;0.38
DS;2008;0.38
PS;1996;0.38
PS3;2009;0.38
SNES;1991;0.38
PS2;2003;0.38
GB;1998;0.38
PS;1997;0.38
PSV;2013;0.38
PS;1998;0.38
DS;2009;0.38
XB;2004;0.38
PS2;2007;0.38
Wii;2008;0.38
Wii;2009;0.38
PS2;2007;0.38
WiiU;2012;0.38
PS3;2008;0.38
Wii;2009;0.38
PSV;2015;0.38
PS3;2010;0.38
GBA;2005;0.38
PSP;2009;0.38
PS2;2001;0.38
GC;2002;0.38
X360;2015;0.38
DS;2007;0.38
PS2;2002;0.38
GBA;2002;0.38
PS2;2008;0.38
PS2;2002;0.38
PS3;2007;0.38
SAT;1995;0.38
3DS;2011;0.38
PS3;2007;0.38
GC;2005;0.38
PS3;2014;0.38
PS;1994;0.38
XOne;2016;0.38
Wii;2009;0.38
PS;1998;0.38
PS;2000;0.38
PS2;2005;0.38
PS2;2004;0.38
3DS;2013;0.38
GC;2003;0.38
PS2;2010;0.38
PS4;2015;0.38
GBA;2004;0.38
3DS;2012;0.38
PS2;2003;0.38
DS;2006;0.38
PS3;2006;0.38
PS;1996;0.38
PS2;2002;0.38
PS2;2000;0.38
GB;1991;0.38
Wii;2009;0.38
PS2;2008;0.38
PS2;2008;0.38
PS2;2008;0.38
Wii;2011;0.38
PS3;2010;0.38
PSP;2010;0.38
Wii;2009;0.38
SAT;1996;0.38
PS;1999;0.38
DS;2009;0.38
XB;2002;0.38
PS2;2007;0.38
PS;1998;0.38
SNES;1995;0.38
PSP;2007;0.38
GC;2003;0.38
PSP;2011;0.38
3DS;2012;0.38
PS;2000;0.38
PS;1999;0.38
WiiU;2012;0.38
PS3;2016;0.38
PC;2011;0.38
PS4;2014;0.38
PS2;2008;0.38
Wii;2010;0.38
DS;2008;0.38
Wii;2010;0.38
2600;1982;0.38
DS;2010;0.38
PSV;2013;0.38
PS2;2004;0.38
XB;2005;0.38
PS3;2014;0.38
PS2;2010;0.38
PC;2010;0.38
DS;2006;0.38
3DS;2011;0.38
3DS;2011;0.38
DS;2009;0.38
Wii;2009;0.38
PS3;2011;0.38
GC;2004;0.38
X360;2005;0.38
DS;2008;0.37
2600;1986;0.37
DS;2008;0.37
PS2;2006;0.37
DS;2009;0.37
WiiU;2012;0.37
PS3;2014;0.37
DS;2008;0.37
PS3;2009;0.37
DS;2007;0.37
PS;1997;0.37
DS;2010;0.37
X360;2009;0.37
PS2;2008;0.37
GC;2005;0.37
PS4;2016;0.37
X360;2007;0.37
XB;2002;0.37
Wii;2007;0.37
X360;2006;0.37
PS;1994;0.37
PS2;2006;0.37
Wii;2009;0.37
PC;2016;0.37
PSP;2011;0.37
DS;2008;0.37
XOne;2015;0.37
GC;2002;0.37
PS2;2003;0.37
PS2;2004;0.37
PSP;2010;0.37
PS2;2006;0.37
PS2;2002;0.37
PSP;2010;0.37
SNES;1994;0.37
SAT;1995;0.37
Wii;2011;0.37
PC;2011;0.37
PS2;2007;0.37
PS;1998;0.37
X360;2011;0.37
PSP;2007;0.37
Wii;2009;0.37
N64;2000;0.37
N64;1999;0.37
N64;2000;0.37
2600;1981;0.37
GC;2004;0.37
PSP;2012;0.37
PS3;2009;0.37
PSP;2007;0.37
PC;2008;0.37
GC;2002;0.37
DS;2007;0.37
GBA;2003;0.37
PS3;2009;0.37
X360;2009;0.37
GBA;2003;0.37
PS4;2015;0.37
PSP;2006;0.37
PSP;2005;0.37
SNES;1994;0.37
PS2;2006;0.37
N64;1999;0.37
3DS;2014;0.37
DS;2005;0.37
SNES;1994;0.37
PS2;2006;0.37
Wii;2008;0.37
PC;2014;0.37
PC;2011;0.37
DC;1998;0.37
PS3;2011;0.37
GB;1997;0.37
PS4;2013;0.37
PSV;2012;0.37
PS4;2015;0.37
PC;2009;0.37
PS2;2007;0.37
PSP;2006;0.37
Wii;2008;0.36
DS;2009;0.36
DS;2007;0.36
GC;2004;0.36
SNES;1994;0.36
PS2;2008;0.36
SAT;1996;0.36
X360;2010;0.36
PS2;2001;0.36
PS4;2016;0.36
SNES;1994;0.36
SNES;1993;0.36
PS2;2002;0.36
PS2;2003;0.36
PS2;2005;0.36
PS2;2005;0.36
DS;2010;0.36
PSP;2006;0.36
PSP;2008;0.36
X360;2013;0.36
X360;2013;0.36
PSP;2008;0.36
PS2;2001;0.36
PS2;2005;0.36
X360;2010;0.36
X360;2009;0.36
PS;1997;0.36
PS3;2013;0.36
GBA;2002;0.36
PS2;2001;0.36
Wii;2009;0.36
PS;1997;0.36
DS;2008;0.36
Wii;2009;0.36
WiiU;2012;0.36
SNES;1997;0.36
PS;1997;0.36
PS2;2000;0.36
XB;2005;0.36
NES;1993;0.36
N64;1997;0.36
N64;1997;0.36
N64;2000;0.36
PSV;2013;0.36
Wii;2008;0.36
PS;2001;0.36
PS3;2009;0.36
GBA;2001;0.36
Wii;2008;0.36
XB;2004;0.36
PC;2014;0.36
GBA;2002;0.36
SNES;1994;0.36
WiiU;2013;0.36
PS;1999;0.36
Wii;2011;0.36
Wii;2009;0.36
X360;2011;0.36
XB;2003;0.36
DS;2007;0.36
PS2;2005;0.36
X360;2015;0.36
DS;2007;0.36
PS2;2004;0.36
PS2;2004;0.36
PS3;2010;0.36
PS3;2012;0.36
PSP;2012;0.36
Wii;2011;0.36
PS2;2003;0.36
PS2;2003;0.36
PS;2000;0.36
PS3;2008;0.36
Wii;2009;0.36
GBA;2001;0.36
Wii;2007;0.36
PC;2013;0.36
PS3;2013;0.36
Wii;2011;0.36
PS;1995;0.36
2600;1981;0.36
Wii;2010;0.36
XB;2002;0.36
X360;2010;0.36
PSP;2011;0.36
PS;1998;0.36
SNES;1994;0.36
PS3;2008;0.36
DS;2010;0.36
PS2;2001;0.36
PSP;2009;0.36
PS2;2009;0.36
PSP;2009;0.36
DC;1999;0.36
DS;2008;0.36
PS;1997;0.36
XB;2001;0.36
DS;2009;0.35
PSP;2007;0.35
PS;1998;0.35
Wii;2006;0.35
GBA;2005;0.35
XOne;2016;0.35
PS2;2005;0.35
GC;2005;0.35
PS2;2006;0.35
GB;1996;0.35
PS3;2013;0.35
Wii;2007;0.35
PS2;2004;0.35
Wii;2010;0.35
3DS;2013;0.35
PS3;2010;0.35
PS2;2003;0.35
PS3;2009;0.35
X360;2012;0.35
PS2;2003;0.35
GBA;2002;0.35
XB;2003;0.35
X360;2009;0.35
PS2;2006;0.35
3DS;2014;0.35
WiiU;2016;0.35
SNES;1995;0.35
DS;2009;0.35
SNES;1993;0.35
PS2;2001;0.35
PS2;2003;0.35
PS;2000;0.35
GBA;2003;0.35
DS;2011;0.35
PS3;2011;0.35
Wii;2010;0.35
DS;2008;0.35
Wii;2009;0.35
Wii;2013;0.35
DS;2007;0.35
N64;2000;0.35
PS3;2013;0.35
PS3;2010;0.35
Wii;2011;0.35
X360;2010;0.35
PS2;2003;0.35
GC;2006;0.35
GBA;2003;0.35
DS;2005;0.35
PS2;2004;0.35
PS;2000;0.35
XB;2003;0.35
X360;2011;0.35
PS3;2010;0.35
PS2;2007;0.35
PS2;2009;0.35
PS2;2002;0.35
X360;2008;0.35
PSP;2010;0.35
PS3;2008;0.35
PS2;2005;0.35
PS;2001;0.35
PS2;2008;0.35
PS2;2002;0.35
PS2;2003;0.35
GC;2004;0.35
DS;2008;0.35
PS2;2003;0.35
PS4;2015;0.35
PS2;2000;0.35
PS;1998;0.35
PS2;2000;0.35
X360;2007;0.35
PS;1999;0.35
SAT;1996;0.35
PS2;2002;0.35
DS;2010;0.35
PSP;2006;0.35
PS3;2012;0.35
GC;2006;0.35
PSP;2011;0.35
PS4;2015;0.35
PS2;2005;0.35
DS;2007;0.35
X360;2008;0.35
PS;1998;0.34
DS;2009;0.34
GBA;2005;0.34
PSP;2011;0.34
PSP;2011;0.34
GBA;2002;0.34
PS2;2008;0.34
PS2;2006;0.34
DC;1999;0.34
PS;1999;0.34
DS;2007;0.34
PS3;2007;0.34
GBA;2004;0.34
XOne;2014;0.34
DS;2007;0.34
X360;2006;0.34
X360;2006;0.34
2600;1980;0.34
GBA;2002;0.34
PS2;2003;0.34
DS;2010;0.34
Wii;2010;0.34
PS2;2004;0.34
SAT;1995;0.34
X360;2011;0.34
PS2;2009;0.34
GBA;2004;0.34
DS;2010;0.34
PS;1997;0.34
PS2;2000;0.34
XB;2004;0.34
PS2;2001;0.34
2600;1982;0.34
2600;1983;0.34
X360;2016;0.34
X360;2005;0.34
Wii;2011;0.34
GC;2005;0.34
PS3;2009;0.34
XB;2004;0.34
2600;1981;0.34
Wii;2011;0.34
Wii;2007;0.34
PS3;2012;0.34
SAT;1995;0.34
N64;1998;0.34
2600;1982;0.34
PS3;2009;0.34
3DS;2011;0.34
PS;1998;0.34
Wii;2008;0.34
2600;1981;0.34
PSP;2007;0.34
PS2;2004;0.34
PS3;2011;0.34
XB;2006;0.34
DS;2007;0.34
PS;1997;0.34
DS;2009;0.34
DS;2008;0.34
XOne;2014;0.34
DS;2007;0.34
PSP;2008;0.34
DS;2008;0.34
PS;1998;0.34
X360;2011;0.34
XB;2002;0.34
3DS;2013;0.34
DS;2008;0.34
PS3;2008;0.34
XOne;2013;0.34
GBA;2005;0.34
PC;2011;0.34
GC;2003;0.34
DS;2009;0.34
PS2;2009;0.34
PS3;2010;0.34
PS4;2016;0.34
PS3;2007;0.34
X360;2007;0.34
PSV;2012;0.34
PS2;2008;0.34
DS;2011;0.34
PS;1996;0.34
PS2;2001;0.34
DS;2006;0.34
X360;2015;0.34
XB;2005;0.34
DS;2009;0.34
PS2;2005;0.34
PS3;2011;0.33
PS3;2011;0.33
X360;2009;0.33
XB;2006;0.33
DS;2009;0.33
X360;2008;0.33
PS;1996;0.33
Wii;2011;0.33
PS3;2012;0.33
X360;2011;0.33
PS2;2003;0.33
GBA;2003;0.33
PS;1998;0.33
Wii;2010;0.33
DS;2007;0.33
PSP;2006;0.33
PSP;2006;0.33
X360;2009;0.33
PS;1998;0.33
PSP;2009;0.33
Wii;2011;0.33
Wii;2010;0.33
PSP;2004;0.33
PS3;2012;0.33
PS3;2009;0.33
Wii;2009;0.33
PSV;2011;0.33
GC;2003;0.33
DS;2007;0.33
GC;2005;0.33
XB;2003;0.33
X360;2007;0.33
Wii;2009;0.33
Wii;2010;0.33
PS2;2001;0.33
XB;2003;0.33
X360;2010;0.33
Wii;2008;0.33
PS2;2002;0.33
XB;2001;0.33
PSP;2006;0.33
PS3;2009;0.33
PS;1999;0.33
PS4;2015;0.33
GC;2004;0.33
PS3;2011;0.33
PC;2012;0.33
PS2;2002;0.33
GBA;2005;0.33
WiiU;2014;0.33
PS2;2002;0.33
PS;1999;0.33
PSV;2011;0.33
X360;2012;0.33
GB;1990;0.33
SNES;1994;0.33
Wii;2009;0.33
PSP;2006;0.33
DS;2008;0.33
PS2;2009;0.33
PS4;2016;0.33
PS2;2001;0.33
GBA;2004;0.33
PS3;2014;0.33
PS2;2009;0.33
XB;2006;0.33
GBA;2001;0.33
PS2;2003;0.33
PS3;2008;0.33
N64;1998;0.33
PSP;2011;0.33
X360;2009;0.33
PS;1998;0.33
PS2;2006;0.33
PS3;2010;0.33
X360;2010;0.33
PS2;2002;0.33
SNES;1991;0.33
DS;2008;0.33
PS3;2011;0.33
GC;2005;0.33
Wii;2006;0.33
PSP;2007;0.33
X360;2013;0.33
PS2;2003;0.33
PS2;2005;0.33
Wii;2007;0.33
PSP;2009;0.33
PS3;2009;0.33
GC;2006;0.33
DS;2009;0.33
PSP;2008;0.33
X360;2011;0.33
PS;1994;0.33
GBA;2003;0.33
DC;2001;0.33
DS;2011;0.33
PS;2000;0.33
GBA;2003;0.33
PS3;2013;0.33
GC;2005;0.33
SNES;1991;0.33
Wii;2010;0.33
X360;2008;0.33
DS;2010;0.33
GC;2005;0.33
DS;2007;0.33
X360;2011;0.33
X360;2007;0.33
PS;1997;0.33
DS;2007;0.33
PS;1996;0.33
PS3;2010;0.33
PS3;2007;0.33
3DS;2015;0.33
PS2;2007;0.33
XOne;2014;0.33
GC;2006;0.33
PS3;2011;0.33
2600;1983;0.33
DS;2010;0.33
PSV;2012;0.33
GC;2005;0.33
Wii;2008;0.33
2600;1981;0.33
WiiU;2013;0.33
DS;2009;0.33
GBA;2005;0.33
Wii;2006;0.33
PS;1995;0.33
XB;2006;0.33
PS2;2004;0.33
PSV;2014;0.33
PC;2011;0.33
PS3;2010;0.33
X360;2009;0.32
PSP;2009;0.32
PS3;2014;0.32
PC;2008;0.32
GBA;2004;0.32
PS2;2004;0.32
PSP;2012;0.32
PC;2013;0.32
PS2;2003;0.32
PS;1999;0.32
PS3;2015;0.32
X360;2006;0.32
PS3;2008;0.32
PSV;2012;0.32
DS;2008;0.32
X360;2009;0.32
X360;2012;0.32
DS;2011;0.32
N64;1998;0.32
DS;2008;0.32
XOne;2016;0.32
PSP;2009;0.32
PS2;2001;0.32
X360;2007;0.32
PS;1997;0.32
XB;2005;0.32
PS3;2009;0.32
PS;2002;0.32
PSP;2010;0.32
DS;2010;0.32
Wii;2008;0.32
PC;2009;0.32
X360;2007;0.32
X360;2008;0.32
X360;2006;0.32
Wii;2009;0.32
PS;1996;0.32
PS;1997;0.32
PS4;2014;0.32
X360;2005;0.32
PS;1999;0.32
X360;2014;0.32
PS2;2003;0.32
PC;2010;0.32
PS2;2008;0.32
PS4;2016;0.32
DS;2009;0.32
X360;2011;0.32
PS2;2005;0.32
X360;2007;0.32
Wii;2009;0.32
GC;2003;0.32
PS2;2000;0.32
N64;1997;0.32
PS;2000;0.32
GB;1995;0.32
PS4;2016;0.32
GBA;2001;0.32
PS;2000;0.32
